test_y,forecast
354.0,288.20078
338.25,294.51688
333.7,298.54074
345.6,299.9221
343.35,302.9285
345.65,305.4126
360.5,307.61746
392.0,312.61664
425.5,324.84866
401.5,345.25024
399.6,358.5072
399.6,365.60638
407.3,369.03973
405.75,372.39276
418.5,374.7661
452.15,379.39444
443.4,392.29947
449.5,403.0484
464.25,412.11957
453.1,422.5545
454.1,428.16147
468.0,431.15067
486.9,436.47894
486.9,446.63547
454.65,456.08304
429.15,454.1631
429.15,442.0888
449.75,429.59293
457.0,425.33633
436.5,426.513
436.4,423.51822
430.3,419.56757
396.15,414.59756
411.0,401.61893
425.5,392.69183
410.15,390.85995
392.0,387.77167
386.1,380.29822
382.30000000000007,371.53793
382.30000000000007,363.17218
360.8,356.65018
371.15,347.0071
369.95,340.76904
358.25,336.8979
369.0,331.95273
373.6,330.08176
414.15,330.6305
414.15,341.23477
413.25,353.00568
406.25,362.21744
372.2,366.83008
368.95,360.80508
363.1,352.09232
352.4,343.2662
371.1,333.78058
388.1,330.21307
400.0,333.14304
380.1,340.125
384.79999999999995,342.35175
384.79999999999995,343.5565
367.95,344.31335
367.45,341.1518
367.45,337.52707
356.25,334.88403
361.55,330.64233
368.65,327.8937
364.3,327.91898
347.0,327.69772
353.0,323.43515
357.5,319.9918
366.85,318.65634
366.85,320.23428
354.15,322.50046
353.05,321.79617
343.75,319.97003
337.1,316.18283
336.8,311.13385
343.6,306.62384
357.95,304.6923
342.65,307.13632
347.6,307.30307
338.8,307.53143
334.6,305.83087
334.6,302.95007
329.5,300.35855
328.4,297.41647
337.0,294.7305
353.45,294.53564
378.25,298.7265
377.85,308.96954
403.7,319.19592
371.8,333.06464
353.9,338.39294
367.95,335.59613
370.1,334.15897
390.65,334.21887
382.1,339.46204
381.1,343.51083
381.1,346.02792
376.45,347.56015
387.25,347.41342
386.80000000000007,349.19638
384.0,351.19565
386.0,352.01862
395.35,353.01672
383.44999999999993,356.10938
381.2,356.47025
382.5,355.4243
376.25,354.51263
376.3,352.52637
386.55,350.661
386.5,351.5736
383.2,353.2369
387.6,354.00177
381.75,355.41626
381.8,355.4871
383.75,355.2199
382.5,355.41357
387.15,355.57526
387.15,356.82272
406.6,358.0448
400.3,363.47415
395.0,367.67267
391.0,369.19534
390.54999999999995,368.8142
380.6,368.01312
386.65,365.153
387.25,363.83478
377.05,363.50348
377.2,361.22104
371.9,358.88998
371.9,355.92358
345.0,353.37128
360.6,345.62714
349.85,341.4258
339.55,337.05417
345.75,331.40274
333.6,327.80432
325.3,323.10193
324.4,317.11755
336.8,311.65198
310.4,309.98694
293.35,304.43735
293.35,295.27682
301.8,286.8134
296.55,282.10666
301.6,278.39212
306.1,276.6956
292.35,276.8312
297.1,274.717
289.4,273.1482
277.7,270.62268
299.0,265.99084
293.1,265.47452
293.35,265.698
293.35,266.11356
287.1,266.4592
287.05,265.59216
280.5,264.6201
285.85,262.38867
265.5,261.16974
263.0,257.01416
256.75,251.97781
255.45,246.62741
303.0,241.94861
293.85,246.81949
291.4,252.8132
291.4,257.3589
283.65,260.62302
293.75,261.58557
275.9,263.5232
275.9,262.37015
272.8,260.59097
289.15,258.74005
277.3,260.22424
276.6,260.7103
274.1,260.4449
266.0,259.3533
271.2,257.124
271.2,255.9559
266.85,255.38419
266.7,254.4347
259.05,253.47357
263.8,251.78568
265.65,250.91086
269.9,250.85303
267.7,251.94641
275.35,253.25983
291.65,255.60379
279.45,261.17606
274.7,264.85287
274.7,266.2752
282.0,266.6622
295.8,268.09106
295.8,272.18546
308.3,276.41394
327.25,282.066
312.3,290.94153
300.65,296.5537
312.4,297.8529
322.6,299.80878
318.75,303.9193
318.25,307.60925
318.25,310.563
370.35,312.75778
347.65,324.5335
335.65,332.7985
338.95,336.19745
365.8,338.4994
348.55,345.69952
353.05,349.81238
376.35,353.00775
385.0,360.08987
384.6,369.0762
398.75,377.05032
398.75,386.25232
401.29999999999995,393.88293
398.5,399.66458
425.3,403.82385
387.29999999999995,413.14618
395.85,413.6928
394.5,413.57062
389.6,413.6459
408.0,412.86966
418.15,415.97308
428.1,421.89612
451.1,429.64902
438.0,441.7223
421.15,449.8213
434.65,451.38934
427.45,454.32455
433.2,455.4619
416.1,458.12534
434.2,456.88885
431.35,459.119
435.5,461.14563
473.4,462.78763
465.55,473.03555
494.4,482.301
513.0,496.76767
567.2,514.3351
562.6,543.0821
584.0,567.05676
584.0,590.3073
633.25,608.2579
600.4,635.4231
635.5,647.9031
624.0,665.0535
601.75,676.0431
611.25,677.8764
644.4,681.653
644.4,694.1477
652.55,704.63367
673.6,713.99603
663.5,726.6464
677.5,732.69055
662.5,740.1968
648.5,740.97296
660.25,736.7722
668.0,737.11395
745.25,740.98157
792.0,769.21545
794.75,807.85944
794.75,837.0457
933.0,855.26965
969.0,917.0179
897.0,978.33545
863.5,986.8577
879.5,970.97815
929.5,963.3792
909.5,978.6597
832.0,983.7508
876.0,956.4007
728.5,957.90027
795.5,911.67786
795.5,907.3574
918.5,907.923
943.75,954.7594
919.5,1000.6639
881.5,1017.911
987.0,1006.7708
931.5,1037.0127
936.5,1033.697
949.75,1029.082
1005.75,1030.1991
1044.5,1054.9708
1193.5,1089.1825
1193.5,1182.4106
1082.0,1243.0911
1117.25,1209.8463
1116.0,1199.516
1175.25,1193.6193
1219.75,1221.7865
1240.0,1264.9159
1168.0,1299.7941
1250.0,1272.2665
1313.0,1295.7169
1361.5,1348.876
1391.5,1408.7657
1410.25,1457.0398
1337.5,1487.1208
1414.5,1442.8993
1434.5,1454.5627
1434.5,1474.1451
1532.25,1477.8057
1492.75,1537.827
1613.5,1541.4904
1815.5,1603.7067
1629.0,1774.7994
1702.0,1722.0659
1750.0,1687.3544
1574.5,1693.7455
1744.0,1570.4911
1721.0,1592.847
1660.75,1614.3214
1661.25,1576.3219
1552.5,1548.8542
1569.5,1473.7522
1614.75,1446.9457
1657.75,1475.0103
1770.5,1527.0681
1723.25,1628.6318
1728.25,1651.5764
1728.25,1645.1055
1665.0,1630.8726
1570.0,1575.3416
1570.0,1481.6726
1469.5,1440.788
1410.25,1378.6711
1243.5,1320.2286
1323.75,1212.6627
1392.75,1207.2434
1332.25,1265.9176
1314.75,1281.4608
1245.25,1280.6058
1245.25,1244.5585
1246.5,1227.9022
1327.75,1226.6681
1286.5,1278.2855
1283.0,1287.4923
1254.0,1285.9547
1325.75,1267.4596
1284.5,1297.8717
1287.25,1294.0249
1208.5,1291.819
1173.25,1245.9867
1178.75,1205.2723
1178.75,1192.7284
1263.5,1193.9575
1205.0,1242.2042
1181.25,1240.0519
1179.0,1222.5209
1187.3,1210.6368
1171.7,1208.7988
1080.05,1201.2074
1141.9,1152.8817
1114.2,1159.3024
1147.75,1152.8931
1069.25,1166.4384
1069.25,1139.3131
1122.0,1125.7628
1240.0,1145.793
1232.1,1215.1617
1274.5,1250.434
1216.25,1285.4434
1331.75,1266.174
1348.85,1313.0283
1305.7,1345.7133
1327.9,1330.5175
1284.4,1327.747
1168.75,1297.903
1159.1,1216.5267
